,0,1,2,3
144,"[8115.0, 7775.0, 0.0, 0.0, 0.0, 12051.0, 0.0, 7215.0, 8998.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 9568.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 9460.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 6319.0, 0.0, 6309.0]"
147,"[11539.0, 11866.0, 10748.0, 10153.0, 13388.0, 10071.0, 11463.0, 13092.0, 10240.0, 11885.0]","[10332.0, 9997.0, 10504.0, 11300.0, 9895.0, 0.0, 0.0, 0.0, 0.0, 10294.0]","[12339.0, 12368.0, 0.0, 12747.0, 9933.0, 10628.0, 0.0, 9940.0, 12221.0, 0.0]","[12019.0, 11462.0, 11816.0, 12833.0, 12387.0, 12148.0, 0.0, 13011.0, 9832.0, 0.0]"
149,"[17841.0, 20322.0, 20219.0, 20027.0, 19959.0, 18336.0, 19419.0, 20895.0, 17978.0, 17923.0]","[17933.0, 15702.0, 15534.0, 15625.0, 15181.0, 17517.0, 16949.0, 16797.0, 19079.0, 18436.0]","[16950.0, 17050.0, 13674.0, 17123.0, 16887.0, 18357.0, 16436.0, 19334.0, 15521.0, 13742.0]","[17854.0, 18303.0, 18224.0, 18455.0, 18157.0, 17872.0, 18172.0, 16589.0, 20428.0, 17929.0]"
15,"[17000.0, 18805.0, 18163.0, 19411.0, 17595.0, 18517.0, 17174.0, 17101.0, 17289.0, 18281.0]","[16115.0, 14857.0, 14744.0, 14602.0, 13051.0, 15292.0, 16172.0, 15065.0, 16535.0, 18397.0]","[15340.0, 14928.0, 15659.0, 16642.0, 15953.0, 15630.0, 18740.0, 15932.0, 16117.0, 15896.0]","[17660.0, 17185.0, 18552.0, 17591.0, 18026.0, 16210.0, 16389.0, 16520.0, 17971.0, 16851.0]"
150,"[14776.0, 16201.0, 14870.0, 18292.0, 14573.0, 15240.0, 15147.0, 16869.0, 16760.0, 16232.0]","[15014.0, 14169.0, 13276.0, 10577.0, 12905.0, 14951.0, 0.0, 16467.0, 15318.0, 13934.0]","[13885.0, 13668.0, 12911.0, 14335.0, 13778.0, 14860.0, 14052.0, 14794.0, 16335.0, 14869.0]","[15165.0, 15430.0, 15595.0, 15302.0, 15145.0, 14477.0, 15468.0, 15183.0, 15063.0, 15459.0]"
151,"[19323.0, 18946.0, 23109.0, 20229.0, 21802.0, 17879.0, 19660.0, 18782.0, 18343.0, 21346.0]","[17202.0, 17988.0, 17390.0, 18517.0, 17305.0, 19754.0, 17047.0, 18450.0, 17605.0, 17608.0]","[17786.0, 15962.0, 18732.0, 18464.0, 17261.0, 18230.0, 18088.0, 17345.0, 19190.0, 19012.0]","[19839.0, 18420.0, 19481.0, 18602.0, 18589.0, 17862.0, 19849.0, 19459.0, 18593.0, 19101.0]"
152,"[9582.0, 0.0, 10052.0, 10132.0, 11633.0, 12247.0, 11562.0, 11494.0, 10039.0, 9931.0]","[0.0, 0.0, 13259.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 10343.0, 0.0, 9467.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 9989.0, 0.0, 0.0, 12240.0, 0.0, 8501.0, 0.0, 0.0]"
153,"[18312.0, 17142.0, 18369.0, 17838.0, 21360.0, 17983.0, 18473.0, 19222.0, 17748.0, 17002.0]","[18003.0, 14302.0, 14554.0, 19036.0, 16477.0, 15635.0, 14212.0, 14770.0, 17060.0, 14398.0]","[15353.0, 17573.0, 17872.0, 16662.0, 16578.0, 16850.0, 16032.0, 15712.0, 16116.0, 18575.0]","[17987.0, 17599.0, 16876.0, 19600.0, 15868.0, 16774.0, 16273.0, 18116.0, 18408.0, 17277.0]"
154,"[20621.0, 18327.0, 18331.0, 18734.0, 20786.0, 17995.0, 18790.0, 19697.0, 18345.0, 18638.0]","[15837.0, 19202.0, 17416.0, 13865.0, 17514.0, 17855.0, 14717.0, 13253.0, 17590.0, 16949.0]","[17987.0, 18251.0, 16426.0, 21249.0, 17968.0, 18645.0, 14420.0, 19437.0, 20952.0, 16342.0]","[18151.0, 17769.0, 18591.0, 17591.0, 17506.0, 17105.0, 18360.0, 18873.0, 17601.0, 16919.0]"
16,"[17035.0, 16235.0, 18350.0, 17758.0, 19173.0, 17639.0, 18409.0, 16359.0, 16233.0, 16671.0]","[14846.0, 15976.0, 15977.0, 15216.0, 17765.0, 15669.0, 14971.0, 14641.0, 15585.0, 15335.0]","[14317.0, 16276.0, 15217.0, 15355.0, 17315.0, 15562.0, 14924.0, 16957.0, 17047.0, 15258.0]","[17047.0, 18043.0, 17674.0, 15960.0, 16811.0, 16010.0, 16414.0, 17277.0, 16195.0, 17167.0]"
17,"[16721.0, 18370.0, 17134.0, 18411.0, 18861.0, 18553.0, 16995.0, 17399.0, 19429.0, 17641.0]","[15144.0, 15275.0, 14080.0, 16300.0, 14626.0, 17528.0, 13828.0, 15562.0, 15836.0, 16712.0]","[17155.0, 16661.0, 15882.0, 18560.0, 17392.0, 14406.0, 17175.0, 14809.0, 15381.0, 15158.0]","[17055.0, 16649.0, 16821.0, 18016.0, 16518.0, 17675.0, 18018.0, 16351.0, 16862.0, 16059.0]"
18,"[18440.0, 17928.0, 20058.0, 19493.0, 20552.0, 20243.0, 19316.0, 18825.0, 19135.0, 20774.0]","[18714.0, 18479.0, 16508.0, 18615.0, 17640.0, 17154.0, 16515.0, 19837.0, 15414.0, 16950.0]","[18431.0, 18071.0, 18498.0, 18652.0, 19182.0, 17686.0, 18737.0, 17698.0, 18693.0, 18507.0]","[20224.0, 18245.0, 18622.0, 18474.0, 18041.0, 19029.0, 19461.0, 19050.0, 18916.0, 18667.0]"
19,"[18432.0, 16763.0, 18080.0, 16449.0, 17283.0, 17911.0, 17089.0, 18635.0, 16624.0, 16398.0]","[13683.0, 14715.0, 17513.0, 14970.0, 14845.0, 15285.0, 13721.0, 16163.0, 15441.0, 14547.0]","[15402.0, 16974.0, 16179.0, 14778.0, 15642.0, 16417.0, 15332.0, 15046.0, 14385.0, 16436.0]","[16554.0, 17278.0, 17110.0, 16480.0, 16731.0, 16936.0, 16603.0, 16195.0, 16373.0, 15749.0]"
